Date,Bankroll,Strategy
2019-04-23,-18437.90261049638,flat
2019-04-23,-18537.90261049638,flat
2019-04-24,-18447.211287764258,flat
2019-04-24,-18547.211287764258,flat
2019-04-26,-18515.6728788972,flat
2019-04-27,-18615.6728788972,flat
2019-04-27,-18715.6728788972,flat
2019-04-27,-18604.035515092804,flat
2019-04-27,-18704.035515092804,flat
2019-04-27,-18804.035515092804,flat
2019-04-27,-18904.035515092804,flat
2019-04-27,-19004.035515092804,flat
2019-04-27,-19104.035515092804,flat
2019-04-27,-18997.880440879635,flat
2019-04-27,-19097.880440879635,flat
2019-04-28,-19044.84863930449,flat
2019-04-28,-19144.84863930449,flat
2019-04-28,-19244.84863930449,flat
2019-05-03,-19158.2672220088,flat
2019-05-04,-19258.2672220088,flat
2019-05-04,-19200.417398646507,flat
2019-05-04,-19134.656416006677,flat
2019-05-04,-19042.218087428806,flat
2019-05-04,-19142.218087428806,flat
2019-05-04,-19242.218087428806,flat
2019-05-04,-19136.453579038785,flat
2019-05-05,-19236.453579038785,flat
2019-05-05,-19175.35085597254,flat
2019-05-05,-19275.35085597254,flat
2019-05-06,-19228.469834284388,flat
2019-05-12,-19328.469834284388,flat
2019-05-12,-19428.469834284388,flat
2019-05-12,-19327.825312875633,flat
2019-05-12,-19243.663677227876,flat
2019-05-12,-19343.663677227876,flat
2019-05-12,-19225.552121859273,flat
2019-05-12,-19180.138016775138,flat
2019-05-12,-19129.288771398144,flat
2019-05-12,-19229.288771398144,flat
2019-05-12,-19329.288771398144,flat
2019-05-12,-19248.342634619235,flat
2019-05-12,-19348.342634619235,flat
2019-05-12,-19448.342634619235,flat
2019-08-09,-19409.83423562962,flat
2019-08-10,-19366.863529588187,flat
2019-08-10,-19466.863529588187,flat
2019-08-10,-19412.962762907464,flat
2019-08-10,-19319.36839097345,flat
2019-08-10,-19419.36839097345,flat
2019-08-10,-19519.36839097345,flat
2019-08-10,-19619.36839097345,flat
2019-08-10,-19719.36839097345,flat
2019-08-10,-19819.36839097345,flat
2019-08-11,-19919.36839097345,flat
2019-08-11,-20019.36839097345,flat
2019-08-11,-19937.34865429969,flat
2019-08-11,-19845.5669798462,flat
2019-08-11,-19945.5669798462,flat
2019-08-17,-20045.5669798462,flat
2019-08-17,-19951.285969103905,flat
2019-08-17,-20051.285969103905,flat
2019-08-17,-20151.285969103905,flat
2019-08-17,-20091.80351469249,flat
2019-08-17,-20016.065918163036,flat
2019-08-17,-20116.065918163036,flat
2019-08-17,-20000.38247638726,flat
2019-08-17,-20100.38247638726,flat
2019-08-17,-20047.539529787213,flat
2019-08-18,-20147.539529787213,flat
2019-08-18,-20053.262660512206,flat
2019-08-18,-20153.262660512206,flat
2019-08-19,-20253.262660512206,flat
2019-08-23,-20353.262660512206,flat
2019-08-24,-20281.80869409106,flat
2019-08-24,-20381.80869409106,flat
2019-08-24,-20261.95709751327,flat
2019-08-24,-20361.95709751327,flat
2019-08-24,-20461.95709751327,flat
2019-08-24,-20346.04323132358,flat
2019-08-24,-20446.04323132358,flat
2019-08-24,-20337.51088349482,flat
2019-08-24,-20270.661000456344,flat
